catalog_id,smiles,vendor,natural_product_like
s_276436____18897584____31172212,O=C(CC(F)(F)C1=CC=C(Br)N=C1)OCC1(Cl)CC1(F)F,Enamine_REAL,false
m_282151____25185340____25218786____25276790,CCCN1C=CN=C1CN(CCOC(C)C)C(=O)C1=NN(C(C)C)C=N1,Enamine_REAL,false
m_274552____23519528____15947130____25026330,C=CC(C)C(=O)NC(C)(C(=O)NCCC1CCN(C)CC1)C1CCC1,Enamine_REAL,false
m_275592____20019856____14135846____14133490,CC1=NC(C)=C(C(=O)N(C)CCOCCCNC(=O)CC2=CON=C2)S1,Enamine_REAL,false
m_274552____23522078____15961538____15977672,CCC1=CNC(CNC(=O)CCN(C(=O)C=CC2=CSC=C2)C2CC2)=N1,Enamine_REAL,false
s_270004____8298252____24720222,CC1=CC(C(C)NCC2=CC=C3OCCCOC3=C2)=CC=C1F,Enamine_REAL,false
m_274552____23521624____24965830____15985492,O=C(CN1CCCC1)NC(C(=O)NOCC(O)CO)C1=COC=C1,Enamine_REAL,false
m_275592____24342240____21830360____19067008,CC(C)C[C@H](NC(N)=O)C(=O)N(C)[C@@H]1CCN(C(=O)[C@H]2C[C@H]3C=C[C@@H]2O3)C1,Enamine_REAL,false
m_282151____27581806____25202848____25259446,CC(=O)NCCC(=O)N(CC1=NC=C2CCCN21)CC1(O)CCC(C)C1,Enamine_REAL,false
m_280710____31605318____50353010____31733552,CCCCN(CCCO)C(=O)C1=CN(C)C=C1C(=O)NCC1CC=CCC1,Enamine_REAL,false
m_280710____31585372____31671924____31723164,CC1(C)CC(=O)CC1C(=O)N[C@H](C(=O)N1CC(CC2=COC=C2)C1)C(C)(C)C,Enamine_REAL,true
m_279130____28136858____28158962____28194606,CCC(CC)CN1C=C(C2CC(NC(=O)C3=C(C4CC4)N(C(C)C)N=C3)C2)N=N1,Enamine_REAL,false
m_527____14781786____17511476,COC(=O)C1N(C(=O)CC(C)F)CCC1(C)C,Enamine_REAL,true
m_275592____18895990____14137466____19042692,CC1=C(CC(=O)NCCC2COCCN2C(=O)CNC=O)N=CN1,Enamine_REAL,false
m_280710____31585050____31700440____44217052,CCC1=CON=C1CC(=O)N1CC2(CCC2)C1C(=O)NCCC(N)=S,Enamine_REAL,false
s_277990____29506842____29453586,N#CCC1CC(OC(=O)N2CCN(CC3=CC=C4C=CC=CC4=N3)CC2)C1,Enamine_REAL,false
m_274552____23520422____13185414____15975442,C=C1CC(C(=O)NC2(C/C=C/C(=O)NC3CCC(=O)N(C)C3)CCC2)C1,Enamine_REAL,true
m_282151____25221560____25182364____27603334,CC1=CC(CN(CCC2(C)CCO2)C(=O)C(C)(O)CC(C)C)=CC(C)=C1F,Enamine_REAL,false
m_274552____18613016____15968038____13453944,C=C1CC(CNC(=O)C(C)(C)CNC(=O)CCC(C)C)C1,Enamine_REAL,true
s_282530____24710048____25467780____24740580,CC(O)C1CN(CC2=CC=C(C(=O)NS(=O)(=O)C3=CC=C(CN(C)C)C=C3)C=C2)CCO1,Enamine_REAL,false
m_280710____43773034____31699318____31740952,CO[C@H](C)CNC(=O)C1(CNC(=O)[C@H]2CC[C@H]2CC#N)CC1,Enamine_REAL,true
s_2718____17851638____14523170,COC1=CC(NC(=O)C(=O)NC(C)C2=CC=C(N(C)C)N=C2)=C(Br)C=C1Cl,Enamine_REAL,false
s_282770____26498610____26578430,CNC/C=C/C(=O)N[C@H]1C[C@@H]2C[C@H]1C[C@@H]2C1=CC=CC=C1,Enamine_REAL,true
s_1458____25957632____1318402,CCOC(=O)C1=C(C)C=NN(CC(=O)OC(C)C2=CC=CC3=CC=CC=C32)C1=O,Enamine_REAL,false
s_271570____29670704____28540438,COC1=NC=CN=C1C1=C2CC(C)(C)CC2=CC=C1,Enamine_REAL,true
